Area Name,Sex,Age group,Life expectancy (years) ,Lower confidence interval,upper CI,Countries
East Renfrewshire,Female,40 to 44,44.69,44.17,45.21,Scotland
East Renfrewshire,Female,45 to 49,39.85,39.34,40.36,Scotland
East Renfrewshire,Female,50 to 54,35.04,34.54,35.54,Scotland
East Renfrewshire,Female,55 to 59,30.39,29.91,30.87,Scotland
East Renfrewshire,Female,60 to 64,25.89,25.42,26.36,Scotland
East Renfrewshire,Female,65 to 69,21.42,20.97,21.87,Scotland
East Renfrewshire,Female,70 to 74,17.39,16.97,17.81,Scotland
East Renfrewshire,Female,75 to 79,13.52,13.12,13.93,Scotland
East Renfrewshire,Female,80 to 84,10.04,9.65,10.42,Scotland
East Renfrewshire,Female,85 to 89,7.36,6.97,7.76,Scotland
East Renfrewshire,Female,90+,5.17,4.69,5.66,Scotland
Inverclyde,Female,<1,78.71,77.93,79.48,Scotland
Inverclyde,Female,01 to 04,78.14,77.46,78.82,Scotland
Inverclyde,Female,05 to 09,74.14,73.46,74.82,Scotland
Inverclyde,Female,10 to 14,69.14,68.46,69.82,Scotland
Inverclyde,Female,15 to 19,64.2,63.53,64.87,Scotland
Inverclyde,Female,20 to 24,59.25,58.59,59.92,Scotland
Inverclyde,Female,25 to 29,54.35,53.69,55,Scotland
Inverclyde,Female,30 to 34,49.62,49,50.24,Scotland
Inverclyde,Female,35 to 39,44.79,44.19,45.4,Scotland
Inverclyde,Female,40 to 44,40.3,39.74,40.86,Scotland
Inverclyde,Female,45 to 49,35.69,35.16,36.22,Scotland
Inverclyde,Female,50 to 54,31.19,30.69,31.68,Scotland
Inverclyde,Female,55 to 59,26.72,26.25,27.19,Scotland
Inverclyde,Female,60 to 64,22.39,21.93,22.84,Scotland
Inverclyde,Female,65 to 69,18.43,18,18.85,Scotland
Inverclyde,Female,70 to 74,14.64,14.25,15.03,Scotland
Inverclyde,Female,75 to 79,11.28,10.92,11.64,Scotland
Inverclyde,Female,80 to 84,8.29,7.95,8.63,Scotland
Inverclyde,Female,85 to 89,5.96,5.63,6.29,Scotland
Inverclyde,Female,90+,4.18,3.76,4.6,Scotland
North Lanarkshire,Female,<1,78.69,78.33,79.06,Scotland
North Lanarkshire,Female,01 to 04,78.14,77.81,78.46,Scotland
North Lanarkshire,Female,05 to 09,74.2,73.88,74.52,Scotland
North Lanarkshire,Female,10 to 14,69.22,68.9,69.54,Scotland
North Lanarkshire,Female,15 to 19,64.25,63.94,64.57,Scotland
North Lanarkshire,Female,20 to 24,59.29,58.97,59.6,Scotland
North Lanarkshire,Female,25 to 29,54.44,54.13,54.75,Scotland
North Lanarkshire,Female,30 to 34,49.61,49.31,49.91,Scotland
North Lanarkshire,Female,35 to 39,44.79,44.5,45.08,Scotland
North Lanarkshire,Female,40 to 44,40.05,39.77,40.33,Scotland
North Lanarkshire,Female,45 to 49,35.48,35.21,35.74,Scotland
North Lanarkshire,Female,50 to 54,30.95,30.7,31.21,Scotland
North Lanarkshire,Female,55 to 59,26.52,26.28,26.76,Scotland
North Lanarkshire,Female,60 to 64,22.25,22.01,22.48,Scotland
North Lanarkshire,Female,65 to 69,18.23,18,18.45,Scotland
North Lanarkshire,Female,70 to 74,14.52,14.32,14.73,Scotland
North Lanarkshire,Female,75 to 79,11.13,10.94,11.32,Scotland
North Lanarkshire,Female,80 to 84,8.23,8.05,8.41,Scotland
North Lanarkshire,Female,85 to 89,5.78,5.6,5.96,Scotland
North Lanarkshire,Female,90+,3.83,3.59,4.07,Scotland
Shetland Islands,Female,<1,83.7,82.5,84.89,Scotland
Shetland Islands,Female,01 to 04,82.7,81.5,83.89,Scotland
Shetland Islands,Female,05 to 09,78.7,77.5,79.89,Scotland
Shetland Islands,Female,10 to 14,73.7,72.5,74.89,Scotland
Shetland Islands,Female,15 to 19,68.7,67.5,69.89,Scotland
Shetland Islands,Female,20 to 24,63.7,62.5,64.89,Scotland
Shetland Islands,Female,25 to 29,58.7,57.5,59.89,Scotland
Shetland Islands,Female,30 to 34,53.86,52.7,55.01,Scotland
Shetland Islands,Female,35 to 39,49.11,48,50.21,Scotland
Shetland Islands,Female,40 to 44,44.46,43.42,45.5,Scotland
Shetland Islands,Female,45 to 49,39.67,38.66,40.67,Scotland
Shetland Islands,Female,50 to 54,34.92,33.95,35.89,Scotland
Shetland Islands,Female,55 to 59,30.11,29.16,31.07,Scotland
Shetland Islands,Female,60 to 64,25.71,24.81,26.62,Scotland
Shetland Islands,Female,65 to 69,21.29,20.43,22.15,Scotland
Shetland Islands,Female,70 to 74,16.96,16.14,17.79,Scotland
Shetland Islands,Female,75 to 79,13,12.22,13.78,Scotland
Shetland Islands,Female,80 to 84,9.46,8.72,10.21,Scotland
Shetland Islands,Female,85 to 89,6.58,5.84,7.31,Scotland
Shetland Islands,Female,90+,4.11,3.26,4.97,Scotland
West Lothian,Female,<1,80.7,80.23,81.17,Scotland
West Lothian,Female,01 to 04,79.85,79.4,80.3,Scotland
West Lothian,Female,05 to 09,75.9,75.46,76.35,Scotland
West Lothian,Female,10 to 14,70.9,70.46,71.35,Scotland
West Lothian,Female,15 to 19,65.96,65.52,66.4,Scotland
West Lothian,Female,20 to 24,61.07,60.63,61.5,Scotland
West Lothian,Female,25 to 29,56.19,55.77,56.61,Scotland
West Lothian,Female,30 to 34,51.32,50.91,51.73,Scotland
West Lothian,Female,35 to 39,46.54,46.14,46.94,Scotland
West Lothian,Female,40 to 44,41.71,41.31,42.1,Scotland
West Lothian,Female,45 to 49,37,36.61,37.38,Scotland
West Lothian,Female,50 to 54,32.28,31.91,32.65,Scotland
West Lothian,Female,55 to 59,27.74,27.38,28.1,Scotland
West Lothian,Female,60 to 64,23.36,23.01,23.71,Scotland
West Lothian,Female,65 to 69,19.21,18.88,19.54,Scotland
West Lothian,Female,70 to 74,15.36,15.05,15.68,Scotland
West Lothian,Female,75 to 79,11.87,11.57,12.18,Scotland
West Lothian,Female,80 to 84,8.93,8.63,9.22,Scotland
West Lothian,Female,85 to 89,6.36,6.05,6.67,Scotland
West Lothian,Female,90+,4.5,4.08,4.91,Scotland
Angus,Female,<1,81.29,80.68,81.9,Scotland
Angus,Female,01 to 04,80.53,79.96,81.1,Scotland
Angus,Female,05 to 09,76.58,76.02,77.14,Scotland
Angus,Female,10 to 14,71.58,71.02,72.14,Scotland
Angus,Female,15 to 19,66.58,66.02,67.14,Scotland
Angus,Female,20 to 24,61.61,61.06,62.17,Scotland
Angus,Female,25 to 29,56.69,56.14,57.24,Scotland
Angus,Female,30 to 34,51.94,51.42,52.46,Scotland
Angus,Female,35 to 39,47.17,46.67,47.67,Scotland
Angus,Female,40 to 44,42.47,41.99,42.95,Scotland
Angus,Female,45 to 49,37.81,37.35,38.27,Scotland
Angus,Female,50 to 54,33.21,32.78,33.64,Scotland
Angus,Female,55 to 59,28.86,28.46,29.27,Scotland
Angus,Female,60 to 64,24.54,24.16,24.92,Scotland
Angus,Female,65 to 69,20.33,19.96,20.69,Scotland
Angus,Female,70 to 74,16.39,16.05,16.72,Scotland
Angus,Female,75 to 79,12.65,12.33,12.97,Scotland
Angus,Female,80 to 84,9.43,9.13,9.74,Scotland
Angus,Female,85 to 89,6.65,6.35,6.95,Scotland
Angus,Female,90+,4.7,4.33,5.08,Scotland
Dundee City,Female,<1,79.05,78.49,79.6,Scotland
Dundee City,Female,01 to 04,78.16,77.62,78.7,Scotland
Dundee City,Female,05 to 09,74.24,73.71,74.77,Scotland
Dundee City,Female,10 to 14,69.27,68.74,69.79,Scotland
Dundee City,Female,15 to 19,64.3,63.78,64.82,Scotland
Dundee City,Female,20 to 24,59.32,58.8,59.84,Scotland
Dundee City,Female,25 to 29,54.4,53.89,54.92,Scotland
Dundee City,Female,30 to 34,49.52,49,50.03,Scotland
Dundee City,Female,35 to 39,44.68,44.17,45.18,Scotland
Dundee City,Female,40 to 44,40,39.5,40.49,Scotland
Dundee City,Female,45 to 49,35.58,35.12,36.05,Scotland
Dundee City,Female,50 to 54,31.39,30.96,31.81,Scotland
Dundee City,Female,55 to 59,27.04,26.64,27.44,Scotland
Dundee City,Female,60 to 64,22.96,22.58,23.34,Scotland
Dundee City,Female,65 to 69,19.05,18.69,19.4,Scotland
Dundee City,Female,70 to 74,15.26,14.93,15.59,Scotland
Dundee City,Female,75 to 79,11.94,11.63,12.24,Scotland
Dundee City,Female,80 to 84,8.85,8.57,9.14,Scotland
Dundee City,Female,85 to 89,6.48,6.21,6.75,Scotland
Dundee City,Female,90+,4.27,3.93,4.6,Scotland
Falkirk,Female,<1,79.9,79.39,80.41,Scotland
Falkirk,Female,01 to 04,79.24,78.78,79.7,Scotland
Falkirk,Female,05 to 09,75.31,74.86,75.76,Scotland
Falkirk,Female,10 to 14,70.31,69.86,70.76,Scotland
Falkirk,Female,15 to 19,65.34,64.89,65.78,Scotland
Falkirk,Female,20 to 24,60.41,59.98,60.85,Scotland
Falkirk,Female,25 to 29,55.53,55.11,55.96,Scotland
Falkirk,Female,30 to 34,50.62,50.2,51.04,Scotland
Falkirk,Female,35 to 39,45.75,45.34,46.16,Scotland
Falkirk,Female,40 to 44,41.03,40.63,41.43,Scotland
Falkirk,Female,45 to 49,36.35,35.97,36.73,Scotland
Falkirk,Female,50 to 54,31.63,31.26,32,Scotland
Falkirk,Female,55 to 59,27.12,26.77,27.48,Scotland
Falkirk,Female,60 to 64,23,22.67,23.34,Scotland
Falkirk,Female,65 to 69,18.97,18.66,19.28,Scotland
Falkirk,Female,70 to 74,15.14,14.85,15.42,Scotland
Falkirk,Female,75 to 79,11.54,11.27,11.81,Scotland
Falkirk,Female,80 to 84,8.43,8.18,8.67,Scotland
Falkirk,Female,85 to 89,5.82,5.58,6.06,Scotland
Falkirk,Female,90+,3.77,3.47,4.06,Scotland
Midlothian,Female,<1,81.07,80.42,81.72,Scotland
Midlothian,Female,01 to 04,80.29,79.67,80.9,Scotland
Midlothian,Female,05 to 09,76.33,75.72,76.94,Scotland
Midlothian,Female,10 to 14,71.33,70.72,71.94,Scotland
Midlothian,Female,15 to 19,66.33,65.72,66.94,Scotland
Midlothian,Female,20 to 24,61.51,60.93,62.1,Scotland
Midlothian,Female,25 to 29,56.68,56.12,57.24,Scotland
Midlothian,Female,30 to 34,51.77,51.22,52.33,Scotland
Midlothian,Female,35 to 39,46.85,46.3,47.4,Scotland
Midlothian,Female,40 to 44,42.08,41.55,42.62,Scotland
Midlothian,Female,45 to 49,37.27,36.75,37.79,Scotland
Midlothian,Female,50 to 54,32.84,32.35,33.32,Scotland
Midlothian,Female,55 to 59,28.17,27.69,28.64,Scotland
Midlothian,Female,60 to 64,23.71,23.26,24.17,Scotland
Midlothian,Female,65 to 69,19.43,18.99,19.87,Scotland
Midlothian,Female,70 to 74,15.66,15.26,16.07,Scotland
Midlothian,Female,75 to 79,11.99,11.61,12.38,Scotland
Midlothian,Female,80 to 84,8.65,8.28,9.03,Scotland
Midlothian,Female,85 to 89,6.3,5.91,6.68,Scotland
Midlothian,Female,90+,4.3,3.8,4.8,Scotland
Orkney Islands,Female,<1,83.29,82.15,84.42,Scotland
Orkney Islands,Female,01 to 04,82.29,81.15,83.42,Scotland
Orkney Islands,Female,05 to 09,78.29,77.15,79.42,Scotland
Orkney Islands,Female,10 to 14,73.29,72.15,74.42,Scotland
Orkney Islands,Female,15 to 19,68.29,67.15,69.42,Scotland
Orkney Islands,Female,20 to 24,63.29,62.15,64.42,Scotland
Orkney Islands,Female,25 to 29,58.29,57.15,59.42,Scotland
Orkney Islands,Female,30 to 34,53.29,52.15,54.42,Scotland
Orkney Islands,Female,35 to 39,48.68,47.63,49.73,Scotland
Orkney Islands,Female,40 to 44,43.68,42.63,44.73,Scotland
Orkney Islands,Female,45 to 49,38.9,37.88,39.91,Scotland
Orkney Islands,Female,50 to 54,34.31,33.35,35.27,Scotland
Orkney Islands,Female,55 to 59,29.79,28.88,30.71,Scotland
Orkney Islands,Female,60 to 64,25.15,24.27,26.03,Scotland
Orkney Islands,Female,65 to 69,20.68,19.83,21.53,Scotland
Orkney Islands,Female,70 to 74,16.54,15.73,17.34,Scotland
Orkney Islands,Female,75 to 79,12.7,11.92,13.47,Scotland
Orkney Islands,Female,80 to 84,9.58,8.83,10.34,Scotland
Orkney Islands,Female,85 to 89,6.82,6.02,7.61,Scotland
Orkney Islands,Female,90+,4.98,3.98,5.98,Scotland
South Ayrshire,Female,<1,80.91,80.33,81.5,Scotland
South Ayrshire,Female,01 to 04,80.04,79.48,80.6,Scotland
South Ayrshire,Female,05 to 09,76.04,75.48,76.6,Scotland
South Ayrshire,Female,10 to 14,71.09,70.54,71.64,Scotland
South Ayrshire,Female,15 to 19,66.13,65.58,66.68,Scotland
South Ayrshire,Female,20 to 24,61.17,60.62,61.71,Scotland
South Ayrshire,Female,25 to 29,56.35,55.83,56.87,Scotland
South Ayrshire,Female,30 to 34,51.48,50.97,51.98,Scotland
South Ayrshire,Female,35 to 39,46.68,46.19,47.16,Scotland
South Ayrshire,Female,40 to 44,41.9,41.43,42.36,Scotland
South Ayrshire,Female,45 to 49,37.3,36.87,37.73,Scotland
South Ayrshire,Female,50 to 54,32.78,32.38,33.19,Scotland
South Ayrshire,Female,55 to 59,28.43,28.06,28.81,Scotland
South Ayrshire,Female,60 to 64,24.01,23.66,24.36,Scotland
South Ayrshire,Female,65 to 69,19.81,19.48,20.14,Scotland
South Ayrshire,Female,70 to 74,15.78,15.47,16.08,Scotland
South Ayrshire,Female,75 to 79,12.13,11.84,12.41,Scotland
South Ayrshire,Female,80 to 84,8.91,8.64,9.18,Scotland
South Ayrshire,Female,85 to 89,6.14,5.88,6.4,Scotland
South Ayrshire,Female,90+,4.09,3.78,4.4,Scotland
Argyll and Bute,Female,<1,81.84,81.2,82.49,Scotland
Argyll and Bute,Female,01 to 04,80.84,80.2,81.49,Scotland
Argyll and Bute,Female,05 to 09,76.84,76.2,77.49,Scotland
Argyll and Bute,Female,10 to 14,71.91,71.27,72.54,Scotland
Argyll and Bute,Female,15 to 19,66.91,66.27,67.54,Scotland
Argyll and Bute,Female,20 to 24,62.02,61.4,62.63,Scotland
Argyll and Bute,Female,25 to 29,57.07,56.46,57.68,Scotland
Argyll and Bute,Female,30 to 34,52.07,51.46,52.68,Scotland
Argyll and Bute,Female,35 to 39,47.33,46.76,47.91,Scotland
Argyll and Bute,Female,40 to 44,42.48,41.92,43.04,Scotland
Argyll and Bute,Female,45 to 49,38.03,37.53,38.53,Scotland
Argyll and Bute,Female,50 to 54,33.47,33,33.93,Scotland
Argyll and Bute,Female,55 to 59,29.03,28.59,29.47,Scotland
Argyll and Bute,Female,60 to 64,24.61,24.2,25.03,Scotland
Argyll and Bute,Female,65 to 69,20.42,20.03,20.81,Scotland
Argyll and Bute,Female,70 to 74,16.26,15.9,16.63,Scotland
Argyll and Bute,Female,75 to 79,12.46,12.11,12.8,Scotland
Argyll and Bute,Female,80 to 84,9.25,8.92,9.58,Scotland
Argyll and Bute,Female,85 to 89,6.46,6.13,6.79,Scotland
Argyll and Bute,Female,90+,4.19,3.79,4.59,Scotland
East Ayrshire,Female,<1,79.14,78.56,79.73,Scotland
East Ayrshire,Female,01 to 04,78.38,77.83,78.93,Scotland
East Ayrshire,Female,05 to 09,74.42,73.88,74.96,Scotland
East Ayrshire,Female,10 to 14,69.42,68.88,69.96,Scotland
East Ayrshire,Female,15 to 19,64.42,63.88,64.96,Scotland
East Ayrshire,Female,20 to 24,59.45,58.92,59.99,Scotland
East Ayrshire,Female,25 to 29,54.58,54.05,55.1,Scotland
East Ayrshire,Female,30 to 34,49.77,49.26,50.28,Scotland
East Ayrshire,Female,35 to 39,45.04,44.55,45.53,Scotland
East Ayrshire,Female,40 to 44,40.36,39.89,40.83,Scotland
East Ayrshire,Female,45 to 49,35.8,35.36,36.24,Scotland
East Ayrshire,Female,50 to 54,31.43,31.02,31.84,Scotland
East Ayrshire,Female,55 to 59,26.96,26.57,27.36,Scotland
East Ayrshire,Female,60 to 64,22.68,22.3,23.05,Scotland
East Ayrshire,Female,65 to 69,18.65,18.3,19,Scotland
East Ayrshire,Female,70 to 74,14.75,14.42,15.08,Scotland
East Ayrshire,Female,75 to 79,11.41,11.09,11.72,Scotland
East Ayrshire,Female,80 to 84,8.38,8.08,8.67,Scotland
East Ayrshire,Female,85 to 89,6.11,5.81,6.41,Scotland
East Ayrshire,Female,90+,4.05,3.68,4.43,Scotland
Fife,Female,<1,80.92,80.58,81.26,Scotland
Fife,Female,01 to 04,80.28,79.98,80.59,Scotland
Fife,Female,05 to 09,76.34,76.04,76.64,Scotland
Fife,Female,10 to 14,71.34,71.04,71.64,Scotland
Fife,Female,15 to 19,66.35,66.06,66.65,Scotland
Fife,Female,20 to 24,61.42,61.12,61.71,Scotland
Fife,Female,25 to 29,56.51,56.22,56.8,Scotland
Fife,Female,30 to 34,51.58,51.3,51.87,Scotland
Fife,Female,35 to 39,46.76,46.48,47.04,Scotland
Fife,Female,40 to 44,42.08,41.81,42.34,Scotland
Fife,Female,45 to 49,37.35,37.1,37.61,Scotland
Fife,Female,50 to 54,32.79,32.55,33.03,Scotland
Fife,Female,55 to 59,28.28,28.05,28.51,Scotland
Fife,Female,60 to 64,23.87,23.65,24.09,Scotland
Fife,Female,65 to 69,19.71,19.5,19.92,Scotland
Fife,Female,70 to 74,15.84,15.65,16.04,Scotland
Fife,Female,75 to 79,12.24,12.05,12.42,Scotland
Fife,Female,80 to 84,8.97,8.8,9.15,Scotland
Fife,Female,85 to 89,6.37,6.19,6.54,Scotland
Fife,Female,90+,4.33,4.11,4.54,Scotland
Moray,Female,<1,82.58,81.92,83.24,Scotland
Moray,Female,01 to 04,81.85,81.24,82.45,Scotland
Moray,Female,05 to 09,77.85,77.24,78.45,Scotland
Moray,Female,10 to 14,72.85,72.24,73.45,Scotland
Moray,Female,15 to 19,67.89,67.29,68.49,Scotland
Moray,Female,20 to 24,62.98,62.39,63.57,Scotland
Moray,Female,25 to 29,57.98,57.39,58.57,Scotland
Moray,Female,30 to 34,53.15,52.58,53.72,Scotland
Moray,Female,35 to 39,48.4,47.85,48.94,Scotland
Moray,Female,40 to 44,43.58,43.05,44.11,Scotland
Moray,Female,45 to 49,38.86,38.35,39.37,Scotland
Moray,Female,50 to 54,34.15,33.66,34.64,Scotland
Moray,Female,55 to 59,29.58,29.11,30.05,Scotland
Moray,Female,60 to 64,25.19,24.74,25.64,Scotland
Moray,Female,65 to 69,20.85,20.42,21.27,Scotland
Moray,Female,70 to 74,16.83,16.43,17.24,Scotland
Moray,Female,75 to 79,12.96,12.57,13.35,Scotland
Moray,Female,80 to 84,9.58,9.2,9.96,Scotland
Moray,Female,85 to 89,7.03,6.64,7.42,Scotland
Moray,Female,90+,4.95,4.45,5.44,Scotland
Perth and Kinross,Female,<1,82.35,81.81,82.9,Scotland
Perth and Kinross,Female,01 to 04,81.55,81.03,82.06,Scotland
Perth and Kinross,Female,05 to 09,77.63,77.13,78.13,Scotland
Perth and Kinross,Female,10 to 14,72.73,72.24,73.22,Scotland
Perth and Kinross,Female,15 to 19,67.79,67.3,68.27,Scotland
Perth and Kinross,Female,20 to 24,62.79,62.3,63.27,Scotland
Perth and Kinross,Female,25 to 29,57.91,57.44,58.37,Scotland
Perth and Kinross,Female,30 to 34,53,52.54,53.46,Scotland
Perth and Kinross,Female,35 to 39,48.16,47.71,48.61,Scotland
Perth and Kinross,Female,40 to 44,43.44,43.01,43.87,Scotland
Perth and Kinross,Female,45 to 49,38.88,38.48,39.29,Scotland
Perth and Kinross,Female,50 to 54,34.36,33.99,34.74,Scotland
Perth and Kinross,Female,55 to 59,29.88,29.51,30.24,Scotland
Perth and Kinross,Female,60 to 64,25.49,25.14,25.83,Scotland
Perth and Kinross,Female,65 to 69,21.15,20.83,21.48,Scotland
Perth and Kinross,Female,70 to 74,17.17,16.86,17.47,Scotland
Perth and Kinross,Female,75 to 79,13.28,12.99,13.57,Scotland
Perth and Kinross,Female,80 to 84,9.93,9.65,10.2,Scotland
Perth and Kinross,Female,85 to 89,6.9,6.63,7.17,Scotland
Perth and Kinross,Female,90+,4.7,4.38,5.02,Scotland
South Lanarkshire,Female,<1,80.03,79.68,80.38,Scotland
South Lanarkshire,Female,01 to 04,79.23,78.89,79.56,Scotland
South Lanarkshire,Female,05 to 09,75.24,74.91,75.57,Scotland
South Lanarkshire,Female,10 to 14,70.24,69.91,70.57,Scotland
South Lanarkshire,Female,15 to 19,65.27,64.94,65.6,Scotland
South Lanarkshire,Female,20 to 24,60.34,60.02,60.67,Scotland
South Lanarkshire,Female,25 to 29,55.46,55.15,55.78,Scotland
South Lanarkshire,Female,30 to 34,50.64,50.33,50.95,Scotland
South Lanarkshire,Female,35 to 39,45.94,45.65,46.23,Scotland
South Lanarkshire,Female,40 to 44,41.19,40.91,41.47,Scotland
South Lanarkshire,Female,45 to 49,36.57,36.3,36.84,Scotland
South Lanarkshire,Female,50 to 54,31.98,31.72,32.24,Scotland
South Lanarkshire,Female,55 to 59,27.47,27.22,27.72,Scotland
South Lanarkshire,Female,60 to 64,23.18,22.95,23.41,Scotland
South Lanarkshire,Female,65 to 69,19.01,18.79,19.23,Scotland
South Lanarkshire,Female,70 to 74,15.2,14.99,15.4,Scotland
South Lanarkshire,Female,75 to 79,11.73,11.54,11.93,Scotland
South Lanarkshire,Female,80 to 84,8.58,8.4,8.76,Scotland
South Lanarkshire,Female,85 to 89,6.03,5.85,6.21,Scotland
South Lanarkshire,Female,90+,4.16,3.92,4.39,Scotland
